Employe_ID,Prenom,Nom,Genre,Age,Ville,Niveau_Etudes,Etablissement_Formation,Departement,Poste,Niveau_Seniorite,Annees_Experience_Totale,Annees_Experience_Entreprise,Date_Embauche,Salaire_Annuel_MAD,Competence_Principale,Niveau_Competence_Principale,Score_Performance_N-1,Satisfaction_Travail,Potentiel_Promotion,Risque_Depart,Statut_Teletravail,Role_Futur_Souhaite,Date_Estimee_Retraite,Date_Generation,Ratio_Experience_Age,Salaire_Par_Annee_Exp,Processing_Timestamp,Predicted_Salary,Salary_Prediction_Confidence,Predicted_Turnover_Risk,Turnover_Prediction_Confidence
EMP_95181,Timothée,Marie,1,24,Fès,Bac+3,ENCG Casablanca,Cybersécurité,Security Architect,2,4,4,2021-07-06,55848.0,PyTorch,Débutant,82.5,4,1,0,1,Spécialiste Conformité,2066-05-18,2025-05-28 01:18:06,0.16666666666666666,11169.6,2025-05-28T01:18:29.134359,3339437.1337343687,0.7352310562436906,Faible,1.0
EMP_89131,Laure,Moulin,0,37,Tanger,Bac+5,ENSIAS Rabat,Développement Logiciel,Développeur Mobile,5,20,10,2019-03-17,146335.0,Prometheus,Intermédiaire,72.9,6,0,0,0,Tech Lead,2053-05-21,2025-05-28 01:18:06,0.5405405405405406,6968.333333333333,2025-05-28T01:18:29.134359,3256178.752328074,0.9005492451885099,Faible,1.0
EMP_23238,Christine,Gallet,0,25,Rabat,Bac+8,ESITH Casablanca,Infrastructure & Cloud,Architecte Cloud,3,8,8,2018-04-13,94568.0,Helm,Avancé,84.7,1,1,2,2,Ingénieur Réseau,2065-05-18,2025-05-28 01:18:06,0.32,10507.555555555555,2025-05-28T01:18:29.134359,3502467.58421848,0.7186376609199426,Élevé,0.40401190476190474
EMP_83000,Aurore,Maury,0,40,Agadir,Bac+3,Université Hassan II,Développement Logiciel,Développeur Angular,5,23,11,2021-08-03,149623.0,PHP,Avancé,97.8,4,0,0,0,Développeur Angular,2050-05-22,2025-05-28 01:18:06,0.575,6234.291666666667,2025-05-28T01:18:29.134359,4306401.442728969,0.9467217341501293,Faible,1.0
EMP_28301,Alfred,Martinez,1,43,Casablanca,Bac+5,ESITH Casablanca,Data Science & IA,Data Analyst,4,19,4,2021-10-21,151010.0,DynamoDB,Expert,71.5,8,1,0,1,Data Engineer,2047-05-23,2025-05-28 01:18:06,0.4418604651162791,7550.5,2025-05-28T01:18:29.134359,3180907.1527822474,0.8930611923241643,Faible,1.0
EMP_88172,Franck,Rey,1,58,Meknès,Bac+5,ESITH Casablanca,Data Science & IA,Big Data Engineer,4,38,12,2022-01-04,225361.0,MongoDB,Avancé,71.5,2,0,2,1,Analytics Manager,2032-05-26,2025-05-28 01:18:06,0.6551724137931034,5778.48717948718,2025-05-28T01:18:29.134359,3537175.8881482515,0.749678920383543,Élevé,0.37
EMP_76542,Thibaut,Michel,1,47,Tétouan,Bac+5,ENSIAS Rabat,Infrastructure & Cloud,Architecte Cloud,6,29,10,2024-12-16,256676.0,Prometheus,Intermédiaire,98.7,8,0,0,2,Ingénieur Cloud Azure,2043-05-24,2025-05-28 01:18:06,0.6170212765957447,8555.866666666667,2025-05-28T01:18:29.134359,4454625.611680774,0.7013805292809006,Faible,1.0
EMP_21226,Eugène,Auger,1,42,Agadir,Bac+5,ENSIAS Rabat,Cybersécurité,Ethical Hacker,5,21,3,2025-03-03,186409.0,JavaScript,Intermédiaire,86.5,5,0,0,1,Security Architect,2048-05-22,2025-05-28 01:18:06,0.5,8473.136363636364,2025-05-28T01:18:29.134359,3817461.315788352,0.9038653571137085,Faible,1.0
EMP_58944,Paulette,Vasseur,0,27,Tétouan,Bac+8,INPT Rabat,Data Science & IA,Data Scientist Junior,2,5,3,2024-04-25,80700.0,PyTorch,Expert,68.0,4,1,2,2,Statisticien,2063-05-19,2025-05-28 01:18:06,0.18518518518518517,13450.0,2025-05-28T01:18:29.134359,2779130.6054467466,0.8767143359619043,Faible,1.0
EMP_77391,Laurence,Robert,0,56,Fès,Bac+3,Université Mohammed V,Infrastructure & Cloud,Ingénieur Réseau,6,39,2,2025-01-07,301496.0,Kubernetes,Débutant,83.1,1,0,0,1,Ingénieur Cloud AWS,2034-05-26,2025-05-28 01:18:06,0.6964285714285714,7537.4,2025-05-28T01:18:29.134359,4019267.8498189333,0.8822517920102468,Élevé,0.659
EMP_17100,Édouard,Rocher,1,40,Salé,Bac+3,ENSAM Casablanca,Développement Logiciel,Ingénieur Logiciel,5,23,4,2023-03-16,145927.0,TensorFlow,Intermédiaire,68.0,7,1,0,1,Développeur Mobile,2050-05-22,2025-05-28 01:18:06,0.575,6080.291666666667,2025-05-28T01:18:29.134359,3116760.9410582255,0.8928175866714864,Faible,1.0
EMP_68082,Jean,Lopes,1,26,Agadir,Bac+5,ENCG Casablanca,Développement Logiciel,Développeur Vue.js,3,8,8,2018-09-25,72256.0,Angular,Avancé,68.0,3,0,2,1,Développeur Backend Senior,2064-05-18,2025-05-28 01:18:06,0.3076923076923077,8028.444444444444,2025-05-28T01:18:29.134359,2835696.847328157,0.7185111629335226,Faible,1.0
EMP_47388,Franck,Ledoux,1,26,Fès,Bac+3,ENSAM Casablanca,DevOps & Automation,Monitoring Specialist,1,2,2,2024-02-14,29995.0,NumPy,Expert,78.6,1,2,2,2,Platform Engineer,2064-05-18,2025-05-28 01:18:06,0.07692307692307693,9998.333333333334,2025-05-28T01:18:29.134359,3145911.091101252,0.7896164321360681,Élevé,0.3905085470085469
EMP_20500,Caroline,Morin,0,58,Fès,Bac+3,ENSA Tanger,Cybersécurité,Spécialiste Conformité,6,41,3,2024-01-09,272632.0,C#,Avancé,46.3,10,1,0,0,CISO,2032-05-26,2025-05-28 01:18:06,0.7068965517241379,6491.238095238095,2025-05-28T01:18:29.134359,2587644.4044077513,0.7289672648812824,Faible,1.0
EMP_97782,Benoît,Pelletier,1,27,Fès,Bac+5,EHTP Casablanca,Cybersécurité,CISO,2,4,4,2025-01-04,62059.0,Java,Avancé,49.1,10,1,2,2,Incident Response Specialist,2063-05-19,2025-05-28 01:18:06,0.14814814814814814,12411.8,2025-05-28T01:18:29.134359,2005802.6538654603,0.9157758564688984,Faible,1.0
EMP_55745,Marie,Texier,0,38,Marrakech,Bac+5,FST Fès,DevOps & Automation,Automation Engineer,4,18,7,2020-08-28,159958.0,Python,Avancé,66.6,2,0,2,1,Release Manager,2052-05-21,2025-05-28 01:18:06,0.47368421052631576,8418.842105263158,2025-05-28T01:18:29.134359,2966935.7424943,0.8558245317068894,Élevé,0.37
EMP_44664,Alphonse,Chauveau,1,38,Marrakech,Bac+5,FST Fès,Cybersécurité,Analyste SOC,6,19,5,2024-04-25,286486.0,PostgreSQL,Débutant,59.8,5,2,0,2,Incident Response Specialist,2052-05-21,2025-05-28 01:18:06,0.5,14324.3,2025-05-28T01:18:29.134359,2714298.5634400793,0.7827245062131623,Faible,1.0
